	K2O	mass%	119	3.5637
	CaO	mass%	120	33.620
	TiO2	mass%	122	3.2348
	MnO	mass%	125	0.1896
	Fe2O3	mass%	126	24.219
	Rb2O	mass%	137	0.0926
	SrO	mass%	138	0.3710
	Rh2O3	mass%	145	0.7363
	GSS095F087	2020- 2- 7 13:32	12	1
	Na2O	mass%	111	0.7024
	Al2O3	mass%	113	5.8588
	SiO2	mass%	114	18.977
	P2O5	mass%	115	0.2328
	SO3	mass%	116	0.1922
	Cl	mass%	17	1.6575
	K2O	mass%	119	3.1972
	CaO	mass%	120	45.493
	TiO2	mass%	122	2.0972
	MnO	mass%	125	0.3016
	Fe2O3	mass%	126	20.849
	SrO	mass%	138	0.4412
	GSS095F088	2020- 2- 7 14:03	12	1
	Al2O3	mass%	113	5.6995
	SiO2	mass%	114	18.714
	P2O5	mass%	115	0.2086
	SO3	mass%	116	0.2013
	Cl	mass%	17	0.8088
	K2O	mass%	119	3.1065
	CaO	mass%	120	46.928
	TiO2	mass%	122	2.1379
	MnO	mass%	125	0.3231
	Fe2O3	mass%	126	21.265
	ZnO	mass%	130	0.1186
	SrO	mass%	138	0.4897
	GSS095F089	2020- 2- 7 14:34	12	1
	Al2O3	mass%	113	6.5904
	SiO2	mass%	114	21.008
	SO3	mass%	116	0.1668
	Cl	mass%	17	0.6610
	K2O	mass%	119	3.2971
	CaO	mass%	120	40.757
	TiO2	mass%	122	2.5897
	MnO	mass%	125	0.5582
	Fe2O3	mass%	126	23.789
	ZnO	mass%	130	0.0888
	Rb2O	mass%	137	0.0824
	SrO	mass%	138	0.4122
	GSS095F090	2020- 2- 7 15:06	11	1
	Al2O3	mass%	113	8.7463
	SiO2	mass%	114	23.913
	SO3	mass%	116	0.1500
	Cl	mass%	17	1.1281
	K2O	mass%	119	3.7165
	CaO	mass%	120	29.538
	TiO2	mass%	122	2.5455
	MnO	mass%	125	0.3365
	Fe2O3	mass%	126	29.413
	ZnO	mass%	130	0.1059
	SrO	mass%	138	0.4067
